index,Entity,Code,Year,cumulative_emissions_total,emissions_total,population,longitude,latitude
290,Gabon,GAB,1951,24378.0,13930.0,475640,9.45162,0.38832
289,Finland,FIN,1951,131620330.0,7976833.0,4047646,24.9525,60.1608
288,Fiji,FJI,1951,252816.0,131904.0,316137,178.399,-18.1149
287,Faroe Islands,FRO,1951,80608.0,40304.0,31929,-6.91181,61.8926
286,Estonia,EST,1951,117651070.0,7425579.0,1116196,24.7586,59.4392
285,Equatorial Guinea,GNQ,1951,21984.0,10992.0,230628,8.7741,3.7523
284,Djibouti,DJI,1951,36640.0,25648.0,64326,43.1425,11.5806
283,Denmark,DNK,1951,717465540.0,21921394.0,4300262,12.5681,55.6763
282,Democratic Republic of Congo,COD,1951,8388041.0,1746896.0,12542651,15.3222,-4.325
281,China,CHN,1951,2373271800.0,102115210.0,553758251,116.286,40.0495
312,Morocco,MAR,1951,13747555.0,2926020.0,9159293,-6.8704,33.9905
311,Moldova,MDA,1951,119975160.0,7578935.0,2572743,28.8497,47.0167
310,Mauritius,MUS,1951,340752.0,139232.0,541172,57.4977,-20.1605
309,Malta,MLT,1951,501968.0,256480.02,300461,14.5189,35.9042
308,Luxembourg,LUX,1951,16642729.0,9009241.0,298161,6.1296,49.61
307,Latvia,LVA,1951,77646740.0,4905085.0,1933918,24.1048,56.9465
306,Kyrgyzstan,KGZ,1951,66455250.0,4198582.0,1787518,74.6057,42.8851
305,Kenya,KEN,1951,2300903.0,1392231.0,5893576,36.8126,-1.27975
304,Kazakhstan,KAZ,1951,774553100.0,48952744.0,7020910,71.4382,51.1879
303,Japan,JPN,1951,4240445700.0,123457650.0,87849929,139.77,35.67
302,Jamaica,JAM,1951,791424.0,520288.0,1447471,-76.792,17.9927
301,Italy,ITA,1951,1740315400.0,48822230.0,46751901,12.4823,41.8955
300,Ireland,IRL,1951,244984160.0,10506628.0,2936865,-6.26749,53.3441
299,Iran,IRN,1951,817370750.0,6913701.0,16921282,51.4447,35.6878
298,Iceland,ISL,1951,6631649.0,644864.0,145432,-21.8952,64.1353
297,Haiti,HTI,1951,537227.0,131904.0,3314920,-72.3288,18.5392
328,Serbia,SRB,1951,129995450.0,7507567.0,6067045,20.4656,44.8024
327,Saudi Arabia,SAU,1951,126169840.0,0.0,1763610,46.6977,24.6748
326,Sao Tome and Principe,STP,1951,3664.0,3664.0,61783,6.6071,0.20618
325,Saint Vincent and the Grenadines,VCT,1951,7328.0,3664.0,63372,-61.2653,13.2035
324,Saint Lucia,LCA,1951,14656.0,10992.0,93988,-60.9832,14.0
323,Saint Kitts and Nevis,KNA,1951,15878.0,9771.0,48327,-62.7309,17.3
322,Rwanda,RWA,1951,33708.0,16854.0,2236039,30.0587,-1.95325
321,Romania,ROU,1951,739962500.0,22503346.0,16625608,26.0979,44.4479
320,Philippines,PHL,1951,10358902.0,3552832.0,19568083,121.035,14.5515
319,Panama,PAN,1951,1825430.0,750823.0,882013,-79.5188,8.99427
318,Pakistan,PAK,1951,15003075.0,6612636.0,36581906,72.8,30.5167
317,North Macedonia,MKD,1951,24943768.0,1426549.0,1271039,21.4361,42.0024
316,Niger,NER,1951,52097.0,23724.0,2684753,2.1073,13.514
315,Nicaragua,NIC,1951,760329.0,201431.0,1369654,-86.2734,12.1475
314,New Caledonia,NCL,1951,501968.0,282128.0,64745,166.464,-22.2677
313,Nepal,NPL,1951,54960.0,29312.0,8572665,85.3157,27.6939
344,Vietnam,VNM,1951,141774500.0,1285202.0,25600271,105.825,21.0069
343,Uzbekistan,UZB,1951,298236450.0,18519124.0,6385010,69.269,41.3052
342,Uganda,UGA,1951,245488.0,139232.0,5911173,32.5729,0.314269
341,Tunisia,TUN,1951,4027787.0,1376921.0,3682102,10.21,36.7899
340,Trinidad and Tobago,TTO,1951,194422830.0,2513504.0,665740,-61.4789,10.6596
339,Tonga,TON,1951,14656.0,7328.0,50973,-175.216,-21.136
338,Thailand,THA,1951,2620460.0,1090624.0,20965188,100.521,13.7308
337,Tanzania,TZA,1951,945312.0,447008.0,7812973,35.7382,-6.17486
336,Tajikistan,TJK,1951,38030136.0,2394662.0,1588338,68.7864,38.5878
335,Suriname,SUR,1951,447008.0,234496.0,200519,-55.1679,5.8232
334,Sudan,SDN,1951,1169029.0,663685.0,6376064,32.5363,15.5932
333,Sri Lanka,LKA,1951,3172757.0,1545941.0,7956333,79.8528,6.92148
332,South Africa,ZAF,1951,1558083000.0,65141676.0,13309025,28.1871,-25.746
331,Slovakia,SVK,1951,903144960.0,19731558.0,3525383,17.1073,48.1484
330,Singapore,SGP,1951,4739709.0,2825777.0,1068050,103.85,1.28941
329,Sierra Leone,SLE,1951,252816.0,95264.0,2023289,-13.2134,8.4821
203,Ethiopia,ETH,1951,190142.0,62258.0,17989060,38.7468,9.02274
202,Eswatini,SWZ,1951,7328.0,3664.0,278618,31.4659,-26.5225
201,El Salvador,SLV,1951,694971.0,323199.0,2235309,-89.2073,13.7034
200,Egypt,EGY,1951,85250370.0,10558736.0,21605922,31.2461,30.0982
199,Ecuador,ECU,1951,23377998.0,703543.0,3607837,-78.5243,-0.229498
198,Dominican Republic,DOM,1951,2195867.0,358656.0,2450150,-69.8908,18.479
197,Dominica,DMA,1951,3664.0,3664.0,50464,-61.39,15.2976
196,Czechia,CZE,1951,2811201800.0,61651396.0,8997247,14.4205,50.0878
195,Cyprus,CYP,1951,549600.0,282128.0,501062,33.3736,35.1676
194,Curacao,CUW,1951,15886146.0,9721878.0,104422,,
193,Cuba,CUB,1951,119221730.0,6469079.0,6042205,-82.3667,23.1333
192,Croatia,HRV,1951,48421316.0,2788609.0,3911673,15.9614,45.8069
191,Cote d'Ivoire,CIV,1951,1012180.0,460931.0,2809368,-4.0305,5.332
190,Costa Rica,CRI,1951,2236834.0,312207.0,958418,-84.0089,9.63701
189,Congo,COG,1951,207216.0,118409.0,853643,15.2662,-4.2767
